gpu,arm,probe,dtype,size,direction,kind,causal,flops,ms,n_cards
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q128k128h32/8d128,fwd_bwd,,True,6442450944.0,1.1904000043869019,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q197k197h12/12d64,fwd,,False,1907539968.0,0.11923576102537267,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q197k197h12/12d64,fwd,,True,953769984.0,0.10722199571391008,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q197k197h12/12d64,fwd_bwd,,False,5722619904.0,0.5859839916229248,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q197k197h12/12d64,fwd_bwd,,True,2861309952.0,0.502784013748169,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q197k197h16/1d128,fwd,,False,5086773248.0,0.2516480088233948,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q197k197h16/1d128,fwd_bwd,,False,15260319744.0,1.4725040197372437,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q197k197h16/1d128,fwd_bwd,,True,7630159872.0,1.1788800358772278,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q197k197h32/32d80,fwd_bwd,,False,4768849920.0,0.5643520057201385,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q2048k2048h12/12d64,fwd,,False,103079215104.0,3.0454272270202636,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q2048k2048h12/12d64,fwd,,True,51539607552.0,1.7054719924926758,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q2048k2048h12/12d64,fwd_bwd,,False,309237645312.0,11.603968143463135,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q2048k2048h12/12d64,fwd_bwd,,True,154618822656.0,6.741919994354248,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q2048k2048h32/8d128,fwd,,False,137438953472.0,4.043264007568359,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q2048k2048h32/8d128,fwd,,True,68719476736.0,2.1512192726135253,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q2048k2048h32/8d128,fwd_bwd,,False,412316860416.0,15.333119869232178,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q2048k2048h32/8d128,fwd_bwd,,True,206158430208.0,8.689824104309082,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h32/4d64,fwd,,False,4294967296.0,0.14247497518857322,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h32/4d64,fwd_bwd,,False,12884901888.0,0.8384853601455688,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h32/4d64,fwd_bwd,,True,6442450944.0,0.727893312772115,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h32/8d64,fwd,,False,4294967296.0,0.14299428462982178,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h32/8d64,fwd_bwd,,False,12884901888.0,0.8398507038752239,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h32/8d64,fwd_bwd,,True,6442450944.0,0.7325013478597004,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h9/3d64,fwd,,False,603979776.0,0.02643857267525819,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h9/3d64,fwd,,True,301989888.0,0.026384515360257044,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h9/3d64,fwd_bwd,,False,1811939328.0,0.13471282070333307,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q256k256h9/3d64,fwd_bwd,,True,905969664.0,0.13352959950764973,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/1d64,fwd_bwd,,False,10871635968.0,0.6233599781990051,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/1d64,fwd_bwd,,True,5435817984.0,0.5040640234947205,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/2d32,fwd_bwd,,False,10871635968.0,0.6568959951400757,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/2d32,fwd_bwd,,True,5435817984.0,0.5181559920310974,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/4d128,fwd,,False,14495514624.0,0.4640639781951904,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/4d128,fwd,,True,7247757312.0,0.28098559379577637,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/4d128,fwd_bwd,,False,43486543872.0,2.343424081802368,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/4d128,fwd_bwd,,True,21743271936.0,1.720575988292694,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/4d64,fwd,,False,7247757312.0,0.23874080181121826,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/4d64,fwd_bwd,,False,21743271936.0,1.2154879570007324,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h12/4d64,fwd_bwd,,True,10871635968.0,0.9656320015589397,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h16/16d80,fwd_bwd,,False,4529848320.0,0.3259245668138776,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q384k384h32/2d32,fwd_bwd,,False,7247757312.0,0.44605441093444825,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q4096k4096h8/8d40,fwd,,False,42949672960.0,2.172159957885742,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q4096k4096h8/8d40,fwd,,True,21474836480.0,1.1856719970703127,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q4096k4096h8/8d40,fwd_bwd,,False,128849018880.0,7.759360074996948,18
